,Current Coylton GSP Electricity Demand (MWh),Future Coylton Electricity Demand (MWh),Coylton 33kV Wind (MWh),Coylton GSP Wind (MWh),Domestic Heat per kWh,Air Temp (DegC),West Whitlawburn District Heating (kWh)
98,8.383201043,23.34127549,24.16540591,103.6991589,3.31E-05,3.557,150.465
99,8.68443086,26.58438744,25.21860411,103.8129812,4.89E-05,3.557,150.465
100,9.145103953,29.84415192,23.98990267,102.9328227,6.64E-05,3.856,143.70375
101,9.833166944,35.75400693,24.21559911,101.7891812,9.48E-05,3.856,143.70375
102,10.68548438,42.15956811,21.80594064,97.11346381,0.000126041,4.043,170.31
103,11.17374854,45.706478,23.0177663,98.31505809,0.000134855,4.043,170.31
104,11.41109792,46.38116714,18.92799724,89.39386979,0.000134325,4.267,219.86
105,11.363184,45.10163812,19.50719291,88.54589279,0.000130165,4.267,219.86
106,11.16999938,43.45553483,16.34167848,81.02601296,0.000121954,4.549,212.85125
107,11.03566797,42.52748884,16.51028877,81.18100589,0.000117461,4.549,212.85125
108,11.06986015,41.01496153,15.42170501,76.23719648,0.000108339,4.871,230.23375
109,11.19437854,40.39740642,15.49597424,77.92653842,0.000104496,4.871,230.23375
110,8.501405254,37.27211064,17.04052734,82.29514989,0.000100772,5.227,247.01375
111,8.326317464,36.01177399,16.72157341,83.84295878,9.49E-05,5.227,247.01375
112,8.481563843,36.8075587,18.10467961,85.2510354,9.82E-05,5.415,248.66375
113,8.351261177,35.49070376,18.39268449,84.35711501,9.13E-05,5.415,248.66375
114,8.287445242,34.49315504,19.34269018,88.93973212,8.68E-05,5.55,290.81
115,8.217530011,35.37403274,19.32252008,88.54527776,9.09E-05,5.55,290.81
116,8.187066521,34.5210762,18.77468818,88.22444435,8.74E-05,5.669,300.975
117,8.124476904,34.06414378,18.11276115,84.94414327,8.57E-05,5.669,300.975
118,8.272075593,34.89593788,18.12083278,86.54636605,8.86E-05,5.798,316.2525
119,8.572359858,35.49245961,18.59247798,85.30176726,9.23E-05,5.798,316.2525
120,8.87385489,36.38190532,18.27310872,87.99207338,9.57E-05,5.785,346.63125
121,9.175973672,36.24269333,18.13530786,86.96597388,9.20E-05,5.785,346.63125
122,9.56817473,37.46532043,19.35628971,91.76287114,9.69E-05,5.518,295.22
123,9.900175756,38.33296367,19.99018147,91.02812052,0.000100589,5.518,295.22
